family,model,layer,head,delta_ioi,delta_anti,abs_delta_ioi,abs_delta_anti,strength,category
pythia,pythia-160m,3,6,0.0,-0.1963221430778503,0.0,0.1963221430778503,0.1963221430778503,anti_only
pythia,pythia-160m,4,0,0.0,-0.5259249806404114,0.0,0.5259249806404114,0.5259249806404114,anti_only
pythia,pythia-160m,4,1,0.0,-0.4760230183601379,0.0,0.4760230183601379,0.4760230183601379,anti_only
pythia,pythia-160m,4,2,-0.1131789684295654,0.0,0.1131789684295654,0.0,0.1131789684295654,ioi_only
pythia,pythia-160m,4,3,0.0,-0.2348769307136535,0.0,0.2348769307136535,0.2348769307136535,anti_only
pythia,pythia-160m,4,5,0.0,-0.2131379246711731,0.0,0.2131379246711731,0.2131379246711731,anti_only
pythia,pythia-160m,4,6,-0.8135761022567749,-0.2139435410499572,0.8135761022567749,0.2139435410499572,1.0275196433067322,shared
pythia,pythia-160m,4,8,-0.7491799592971802,0.0,0.7491799592971802,0.0,0.7491799592971802,ioi_only
pythia,pythia-160m,4,11,-0.973591923713684,0.0,0.973591923713684,0.0,0.973591923713684,ioi_only
pythia,pythia-160m,5,0,0.0,-0.1878109574317932,0.0,0.1878109574317932,0.1878109574317932,anti_only
pythia,pythia-160m,5,1,0.0,-0.6885338425636292,0.0,0.6885338425636292,0.6885338425636292,anti_only
pythia,pythia-160m,5,3,-0.1726235151290893,0.0,0.1726235151290893,0.0,0.1726235151290893,ioi_only
pythia,pythia-160m,5,4,-0.1740866899490356,0.0,0.1740866899490356,0.0,0.1740866899490356,ioi_only
pythia,pythia-160m,5,5,-0.1323281526565551,0.0,0.1323281526565551,0.0,0.1323281526565551,ioi_only
pythia,pythia-160m,5,6,0.0,-0.2648505568504333,0.0,0.2648505568504333,0.2648505568504333,anti_only
pythia,pythia-160m,5,7,0.0,-0.2314826846122741,0.0,0.2314826846122741,0.2314826846122741,anti_only
pythia,pythia-160m,5,8,-0.6894339323043823,0.0,0.6894339323043823,0.0,0.6894339323043823,ioi_only
pythia,pythia-160m,5,10,-0.3407117128372192,0.0,0.3407117128372192,0.0,0.3407117128372192,ioi_only
pythia,pythia-160m,6,1,0.0,-0.3059865832328796,0.0,0.3059865832328796,0.3059865832328796,anti_only
pythia,pythia-160m,6,2,0.0,-0.3751377463340759,0.0,0.3751377463340759,0.3751377463340759,anti_only
pythia,pythia-160m,6,6,-0.8683630228042603,0.0,0.8683630228042603,0.0,0.8683630228042603,ioi_only
pythia,pythia-160m,6,8,-0.1335105895996093,0.0,0.1335105895996093,0.0,0.1335105895996093,ioi_only
