family,model,layer,head,delta_ioi,delta_anti
pythia,pythia-1b,3,2,-0.28124114871025085,0.0
pythia,pythia-1b,3,3,-0.2382739782333374,0.0
pythia,pythia-1b,3,4,-0.13647355139255524,-0.14823216199874878
pythia,pythia-1b,3,5,-1.7290535867214203,-0.5574000477790833
pythia,pythia-1b,3,6,-0.5584746301174164,-0.19632214307785034
pythia,pythia-1b,3,7,-0.3219645619392395,0.0
pythia,pythia-1b,4,0,-0.14664708077907562,-0.5259249806404114
pythia,pythia-1b,4,1,-0.561447411775589,-0.47602301836013794
pythia,pythia-1b,4,3,-0.17585641145706177,-0.23487693071365356
pythia,pythia-1b,4,4,-0.3169485032558441,0.0
pythia,pythia-1b,4,5,-0.1343376189470291,-0.2131379246711731
pythia,pythia-1b,4,6,0.0,-0.21394354104995728
pythia,pythia-1b,5,0,-0.361431747674942,-0.1878109574317932
pythia,pythia-1b,5,1,-0.19861671328544617,-0.6885338425636292
pythia,pythia-1b,5,6,0.0,-0.26485055685043335
pythia,pythia-1b,5,7,-0.19283398985862732,-0.23148268461227417
pythia,pythia-1b,6,1,-0.23828929662704468,-0.30598658323287964
pythia,pythia-1b,6,2,-0.3682558238506317,-0.3751377463340759
pythia,pythia-1b,7,0,-0.10081209242343903,-0.12973803281784058
pythia,pythia-1b,7,5,0.0,-0.05703866481781006
pythia,pythia-1b,8,1,0.0,-0.07504862546920776
pythia,pythia-1b,8,3,0.0,-0.04312199354171753
pythia,pythia-1b,8,4,-0.08812050521373749,0.0
pythia,pythia-1b,8,5,0.0,-0.06279504299163818
pythia,pythia-1b,8,7,-0.1330903321504593,0.0
pythia,pythia-1b,9,0,-0.11711004376411438,-0.2654035687446594
pythia,pythia-1b,9,1,-0.09435656666755676,0.0
pythia,pythia-1b,9,3,-0.15060608088970184,-0.13703924417495728
pythia,pythia-1b,9,6,0.0,-0.17614394426345825
pythia,pythia-1b,9,7,0.0,-0.09726327657699585
pythia,pythia-1b,10,0,0.0,-0.044313013553619385
pythia,pythia-1b,10,1,-0.09212601184844971,0.0
pythia,pythia-1b,10,3,0.0,-0.05015110969543457
pythia,pythia-1b,10,4,0.0,-0.11854797601699829
pythia,pythia-1b,10,5,0.0,-0.04856705665588379
pythia,pythia-1b,10,6,0.0,-0.0758398175239563
pythia,pythia-1b,10,7,0.0,-0.04939943552017212
pythia,pythia-1b,11,0,-0.10435593128204346,-0.06030160188674927
pythia,pythia-1b,11,3,0.0,-0.04616314172744751
pythia,pythia-1b,11,6,-0.12114003300666809,0.0
pythia,pythia-1b,11,7,-0.12383288145065308,-0.18556827306747437
pythia,pythia-1b,12,1,0.0,-0.050406694412231445
pythia,pythia-1b,12,5,0.0,-0.18337398767471313
pythia,pythia-1b,14,3,-0.08828353881835938,0.0
gpt-neo,gpt-neo-125M,0,0,-0.27019746601581573,-0.24962961673736572
gpt-neo,gpt-neo-125M,0,1,-1.5349412858486176,-1.3135390430688858
gpt-neo,gpt-neo-125M,0,2,0.0,-1.7878943085670471
gpt-neo,gpt-neo-125M,0,3,-0.26699987053871155,-0.9032590985298157
gpt-neo,gpt-neo-125M,0,4,0.0,-0.7600790858268738
gpt-neo,gpt-neo-125M,0,5,-0.5856923460960388,-2.176737606525421
gpt-neo,gpt-neo-125M,0,6,-0.6490187644958496,-1.8854661881923676
gpt-neo,gpt-neo-125M,0,7,-0.27362731099128723,-2.3322020173072815
gpt-neo,gpt-neo-125M,0,8,-0.444309962913394,-2.665917158126831
gpt-neo,gpt-neo-125M,0,9,-0.35379718244075775,-0.6124296188354492
gpt-neo,gpt-neo-125M,0,10,-0.29320649802684784,-1.0765504837036133
gpt-neo,gpt-neo-125M,0,11,-1.141575187444687,-1.8060099184513092
gpt-neo,gpt-neo-125M,1,0,-1.0740363895893097,-1.0589888095855713
gpt-neo,gpt-neo-125M,1,6,-0.3131037652492523,-0.8770672678947449
gpt-neo,gpt-neo-125M,1,8,-0.2026551067829132,-0.2797454595565796
gpt-neo,gpt-neo-125M,1,9,-0.20937320590019226,-0.20076322555541992
gpt-neo,gpt-neo-125M,2,2,-0.224591463804245,0.0
gpt-neo,gpt-neo-125M,5,7,-0.20166637003421783,0.0
gpt-neo,gpt-neo-125M,6,2,-0.6693219840526581,-0.8256407976150513
gpt-neo,gpt-neo-125M,6,4,-0.41194269992411137,-1.1991513669490814
gpt-neo,gpt-neo-125M,6,6,-0.6230132877826691,-2.2809300422668457
gpt-neo,gpt-neo-125M,9,4,-0.16884562373161316,0.0
gpt-neo,gpt-neo-125M,11,4,0.0,-0.25470197200775146
gpt2,gpt2,0,2,-0.019044160842895508,-0.02296888828277588
gpt2,gpt2,0,4,-0.030524492263793945,-0.0679323673248291
gpt2,gpt2,0,9,-0.6853834390640259,-0.05738401412963867
gpt2,gpt2,0,10,-0.047789931297302246,-0.03731584548950195
gpt2,gpt2,1,1,0.0,-0.06358659267425537
